repayment_id,loan_id,amount,paid_date
R-5001,L-1001,1100.00,2026-03-16
R-5002,L-1001,1100.00,2026-04-15
R-5003,L-1001,1100.00,2026-05-14
R-5004,L-1001,1100.00,2026-06-15
R-5005,L-1001,1100.00,2026-07-15
R-5006,L-1001,1100.00,2026-08-17
R-5010,L-1002,1150.00,2025-12-10
R-5011,L-1002,1150.00,2026-01-12
R-5012,L-1002,1150.00,2026-02-10
R-5013,L-1002,1150.00,2026-03-11
R-5014,L-1002,1150.00,2026-04-10
R-5015,L-1002,1150.00,2026-05-10
R-5016,L-1002,1150.00,2026-06-10
R-5017,L-1002,1150.00,2026-07-13
R-5020,L-1003,900.00,2026-02-05
R-5021,L-1003,900.00,2026-03-06
R-5022,L-1003,900.00,2026-04-07
R-5023,L-1003,900.00,2026-05-08
R-5030,L-1004,1150.00,2025-07-21
R-5031,L-1004,1150.00,2025-08-20
R-5032,L-1004,1150.00,2025-09-22
R-5040,L-1005,1100.00,2026-05-01
R-5041,L-1005,1100.00,2026-06-02
R-5042,L-1005,1100.00,2026-07-01
R-5050,L-1007,950.00,2026-03-28
R-5051,L-1007,950.00,2026-04-29
R-5052,L-1007,950.00,2026-05-28
R-5053,L-1007,950.00,2026-06-28
R-5054,L-1007,1500.00,2026-07-30
R-5060,L-1008,1150.00,2025-12-03
R-5061,L-1008,1150.00,2026-01-05
R-5062,L-1008,1150.00,2026-02-03
R-5062,L-1008,1150.00,2026-02-03
R-5063,L-1008,1150.00,2026-03-04
R-5064,L-1008,1150.00,2026-04-03
R-5070,L-1009,1250.00,2026-01-10
R-5071,L-1009,1250.00,2026-02-23
R-5072,L-1009,1250.00,2026-03-22
R-5073,L-1009,1250.00,2026-04-24
R-5080,L-1010,1150.00,2026-06-08
R-5081,L-1010,1150.00,2026-07-09
R-5082,L-1010,-1150.00,2026-07-12
R-5083,L-1010,1150.00,2026-08-10
R-5090,L-1011,1120.00,2025-10-15
R-5091,L-1011,1120.00,2025-11-17
R-5092,L-1011,,2025-12-15
R-5093,L-1011,1120.00,2026-01-15
R-5094,L-1011,1120.00,2026-02-16
R-5095,L-1011,1120.00,2026-03-15
R-5100,L-1012,1000.00,2026-07-30
